         13501280 function calls (13282499 primitive calls) in 24.649 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      117    0.001    0.000    0.034    0.000 _compositor.py:851(get_style_at)
     4837    0.011    0.000    0.034    0.000 _style_properties.py:954(__set__)
      468    0.001    0.000    0.034    0.000 widget.py:1289(get_content_width)
    45858    0.018    0.000    0.033    0.000 <frozen importlib._bootstrap>:645(parent)
     6340    0.012    0.000    0.033    0.000 weakref.py:461(items)
     2863    0.005    0.000    0.033    0.000 widget.py:3575(_check_refresh)
     1272    0.001    0.000    0.033    0.000 text.py:788(iter_text)
   142662    0.033    0.000    0.033    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.033    0.033 _auth.py:1(<module>)
     5814    0.004    0.000    0.032    0.000 widget.py:3232(_size_updated)
      948    0.000    0.000    0.032    0.000 _loop.py:18(loop_last)
6818/6669    0.005    0.000    0.032    0.000 typing.py:378(inner)
   418483    0.032    0.000    0.032    0.000 {built-in method math.isnan}
     9557    0.010    0.000    0.032    0.000 control.py:64(__init__)
      246    0.000    0.000    0.032    0.000 text.py:327(<genexpr>)
      127    0.000    0.000    0.032    0.000 api_client.py:172(get_product)
      142    0.000    0.000    0.032    0.000 __init__.py:226(compile)
      246    0.000    0.000    0.032    0.000 ansi.py:125(decode)
      204    0.009    0.000    0.031    0.000 ansi.py:137(decode_line)
    72752    0.031    0.000    0.031    0.000 cache.py:278(get)
       30    0.000    0.000    0.030    0.001 _footer.py:108(_watch_compact)
    25191    0.010    0.000    0.030    0.000 _style_properties.py:99(__get__)
       76    0.000    0.000    0.030    0.000 dataclasses.py:1255(wrap)
       76    0.002    0.000    0.030    0.000 dataclasses.py:921(_process_class)
      134    0.000    0.000    0.030    0.000 _compiler.py:740(compile)
     3270    0.007    0.000    0.030    0.000 widget.py:517(opacity)
      506    0.030    0.000    0.030    0.000 {built-in method marshal.loads}
     4470    0.008    0.000    0.030    0.000 widget.py:1926(layers)
       64    0.001    0.000    0.030    0.000 message_pump.py:74(__new__)
     4240    0.003    0.000    0.030    0.000 _testing.py:56(get_current_task)
    91114    0.029    0.000    0.029    0.000 _utility.py:34(linspace)
14010/13902    0.009    0.000    0.029    0.000 {built-in method builtins.sum}
      192    0.000    0.000    0.029    0.000 _urls.py:365(copy_merge_params)
7415/7389    0.004    0.000    0.029    0.000 reactive.py:151(_initialize_reactive)
